company,job_id,title,location,department,business_unit,work_option,url,pid
Millennium,REQ-30035,Relationship Manager,"Hong Kong, Hong Kong",Trading,Business & Strategic Development,onsite,https://career.mlp.com/careers/job/755957419269,755957419269
Millennium,REQ-30036,Applied AI Engineer,"Tel Aviv, Israel",Information Technology,IT - Artificial Intelligence,onsite,https://career.mlp.com/careers/job/755957429295,755957429295
Millennium,REQ-29970,"Quantitative Researcher, Quantitative Strategies","Hong Kong, Hong Kong",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755957362218,755957362218
Millennium,REQ-29916,Executive Assistant,"London, United Kingdom",Trading,Fixed Income,onsite,https://career.mlp.com/careers/job/755957252817,755957252817
Millennium,REQ-29907,Full Stack Developer - (C# / .NET),"Bangalore, Karnataka, India",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957214656,755957214656
Millennium,REQ-29863,Reconciliation Specialist (Futures & Options),"Bangalore, Karnataka, India",Operations & Middle Office,Middle Office,onsite,https://career.mlp.com/careers/job/755957091635,755957091635
Millennium,REQ-29868,Application Support Engineer,"Dublin, Ireland",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957098887,755957098887
Millennium,REQ-29858,Capital Development and Investor Relations Manager,"Singapore, Singapore",Capital Development & Investor Relations,Capital Development,onsite,https://career.mlp.com/careers/job/755957089335,755957089335
Millennium,REQ-29763,Junior Execution Trader — Index Rebalance Pod,"Hong Kong, Hong Kong",Trading,Equities,onsite,https://career.mlp.com/careers/job/755956836387,755956836387
Millennium,REQ-29750,Team Lead - Reference Data Technology,"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755956787555,755956787555
Millennium,REQ-29726,People Data Engineering Lead,"Bangalore, Karnataka, India",Human Resources,People Services,onsite,https://career.mlp.com/careers/job/755956745744,755956745744
Millennium,REQ-29673,"Senior Associate, Capital Markets","London, United Kingdom",Execution Services,Capital Markets,onsite,https://career.mlp.com/careers/job/755956708571,755956708571
Millennium,REQ-29632,Full Stack Developer (Backend/.NET),"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755956562487,755956562487
Millennium,REQ-29630,Full Stack Developer (Frontend/Angular & Python),"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755956561921,755956561921
Millennium,REQ-29613,UCC Engineer,"Bangalore, Karnataka, India",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755956544696,755956544696
Millennium,REQ-29574,Java Developer – Algo Development Technology (Equities),"London, United Kingdom",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755956648102,755956648102
Millennium,REQ-29559,Quantitative Researcher,"Hong Kong, Hong Kong",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755956478721,755956478721
Millennium,REQ-29544,Senior Full Stack Developer,"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755956458558,755956458558
Millennium,REQ-29525,Application Security Engineer,"Bangalore, Karnataka, India",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755956424705,755956424705
